timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime
1374967579286,10,HTTP Request,200,ThreadGroup 1-1,text,true,421,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28aps+AND+aj%29&xid=jmeter,10,1,0,0
1374967579316,10,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28phrve+AND+asaj%29&xid=jmeter,10,1,0,0
1374967579342,4,HTTP Request,200,ThreadGroup 1-1,text,true,426,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28apj+AND+a%26a%29&xid=jmeter,4,1,0,0
1374967579356,7,HTTP Request,200,ThreadGroup 1-1,text,true,423,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28jajap+AND+an%29&xid=jmeter,7,1,0,0
1374967579382,9,HTTP Request,200,ThreadGroup 1-1,text,true,426,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28arxiv+AND+agufm%29&xid=jmeter,9,1,0,0
1374967579412,4,HTTP Request,200,ThreadGroup 1-1,text,true,424,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28jgr+AND+nyasa%29&xid=jmeter,4,1,0,0
1374967579448,3,HTTP Request,200,ThreadGroup 1-1,text,true,421,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28apj+AND+nw%29&xid=jmeter,3,1,0,0
1374967579474,3,HTTP Request,200,ThreadGroup 1-1,text,true,424,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28arxiv+AND+cpl%29&xid=jmeter,3,1,0,0
1374967579493,6,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28phrvd+AND+baas%29&xid=jmeter,6,1,0,0
1374967579521,4,HTTP Request,200,ThreadGroup 1-1,text,true,423,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28baas+AND+apj%29&xid=jmeter,4,1,0,0
1374967579542,2,HTTP Request,200,ThreadGroup 1-1,text,true,426,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28jmats+AND+eguga%29&xid=jmeter,2,1,0,0
1374967579563,4,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28agufm+AND+phlb%29&xid=jmeter,4,1,0,0
1374967579588,4,HTTP Request,200,ThreadGroup 1-1,text,true,424,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28spie+AND+lanb%29&xid=jmeter,4,1,0,0
1374967579608,4,HTTP Request,200,ThreadGroup 1-1,text,true,426,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28jchph+AND+agufm%29&xid=jmeter,4,1,0,0
1374967579628,4,HTTP Request,200,ThreadGroup 1-1,text,true,423,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28aj+AND+georl%29&xid=jmeter,4,1,0,0
1374967579651,3,HTTP Request,200,ThreadGroup 1-1,text,true,424,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28jpcm+AND+math%29&xid=jmeter,3,1,0,0
1374967579675,4,HTTP Request,200,ThreadGroup 1-1,text,true,426,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28phrve+AND+nyasa%29&xid=jmeter,3,1,0,0
1374967579693,4,HTTP Request,200,ThreadGroup 1-1,text,true,423,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28aspc+AND+aps%29&xid=jmeter,4,1,0,0
1374967579718,3,HTTP Request,200,ThreadGroup 1-1,text,true,422,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28aj+AND+lanb%29&xid=jmeter,3,1,0,0
1374967579739,3,HTTP Request,200,ThreadGroup 1-1,text,true,425,1,1,http://adsate:9002/solr/select?q=bibstem%3A%28baas+AND+ploso%29&xid=jmeter,3,1,0,0
1374967579763,26,HTTP Request,200,ThreadGroup 1-1,text,true,703957,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28shi+AND+gupta%29&xid=jmeter,6,1,0,0
1374967579918,14,HTTP Request,200,ThreadGroup 1-1,text,true,258612,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28liu+AND+yamamoto%29&xid=jmeter,8,1,0,0
1374967579957,13,HTTP Request,200,ThreadGroup 1-1,text,true,34882,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28xu+AND+thompson%29&xid=jmeter,12,1,0,0
1374967579986,7,HTTP Request,200,ThreadGroup 1-1,text,true,48594,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28han+AND+yu%29&xid=jmeter,6,1,0,0
1374967580013,15,HTTP Request,200,ThreadGroup 1-1,text,true,83047,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28lu+AND+young%29&xid=jmeter,13,1,0,0
1374967580047,8,HTTP Request,200,ThreadGroup 1-1,text,true,43253,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28lin+AND+sato%29&xid=jmeter,7,1,0,0
1374967580073,16,HTTP Request,200,ThreadGroup 1-1,text,true,365803,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28xu+AND+meyer%29&xid=jmeter,6,1,0,0
1374967580124,11,HTTP Request,200,ThreadGroup 1-1,text,true,205593,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28brown+AND+kobayashi%29&xid=jmeter,6,1,0,0
1374967580166,8,HTTP Request,200,ThreadGroup 1-1,text,true,71708,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28brown+AND+watanabe%29&xid=jmeter,6,1,0,0
1374967580190,6,HTTP Request,200,ThreadGroup 1-1,text,true,32227,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28johnson+AND+choi%29&xid=jmeter,6,1,0,0
1374967580214,10,HTTP Request,200,ThreadGroup 1-1,text,true,62755,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28ma+AND+li%29&xid=jmeter,9,1,0,0
1374967580242,8,HTTP Request,200,ThreadGroup 1-1,text,true,80860,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28suzuki+AND+gao%29&xid=jmeter,6,1,0,0
1374967580268,9,HTTP Request,200,ThreadGroup 1-1,text,true,87015,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28miller+AND+park%29&xid=jmeter,6,1,0,0
1374967580291,15,HTTP Request,200,ThreadGroup 1-1,text,true,322972,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28sato+AND+taylor%29&xid=jmeter,7,1,0,0
1374967580340,15,HTTP Request,200,ThreadGroup 1-1,text,true,62278,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28van+AND+choi%29&xid=jmeter,7,1,0,0
1374967580373,10,HTTP Request,200,ThreadGroup 1-1,text,true,88644,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28kim+AND+takahashi%29&xid=jmeter,7,1,0,0
1374967580401,9,HTTP Request,200,ThreadGroup 1-1,text,true,114036,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28watanabe+AND+van%29&xid=jmeter,7,1,0,0
1374967580433,8,HTTP Request,200,ThreadGroup 1-1,text,true,41955,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28lu+AND+han%29&xid=jmeter,7,1,0,0
1374967580457,6,HTTP Request,200,ThreadGroup 1-1,text,true,53533,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28yan+AND+cheng%29&xid=jmeter,5,1,0,0
1374967580488,9,HTTP Request,200,ThreadGroup 1-1,text,true,90276,1,1,http://adsate:9002/solr/select?q=author_surname%3A%28yamamoto+AND+williams%29&xid=jmeter,6,1,0,0
1374967580514,44,HTTP Request,200,ThreadGroup 1-1,text,true,32659,1,1,http://adsate:9002/solr/select?q=aff%3A%28de+AND+de%29&xid=jmeter,44,1,0,0
1374967580577,47,HTTP Request,200,ThreadGroup 1-1,text,true,40599,1,1,http://adsate:9002/solr/select?q=aff%3A%28laboratory+AND+research%29&xid=jmeter,47,1,0,0
1374967580641,40,HTTP Request,200,ThreadGroup 1-1,text,true,122248,1,1,http://adsate:9002/solr/select?q=aff%3A%28engineering+AND+science%29&xid=jmeter,38,1,0,0
1374967580693,28,HTTP Request,200,ThreadGroup 1-1,text,true,140560,1,1,http://adsate:9002/solr/select?q=aff%3A%28state+AND+1%29&xid=jmeter,25,1,0,0
1374967580738,33,HTTP Request,200,ThreadGroup 1-1,text,true,25481,1,1,http://adsate:9002/solr/select?q=aff%3A%28school+AND+school%29&xid=jmeter,33,1,0,0
1374967580789,24,HTTP Request,200,ThreadGroup 1-1,text,true,85310,1,1,http://adsate:9002/solr/select?q=aff%3A%28institut+AND+japan%29&xid=jmeter,23,1,0,0
1374967580830,33,HTTP Request,200,ThreadGroup 1-1,text,true,43807,1,1,http://adsate:9002/solr/select?q=aff%3A%28germany+AND+research%29&xid=jmeter,32,1,0,0
1374967580885,28,HTTP Request,200,ThreadGroup 1-1,text,true,40394,1,1,http://adsate:9002/solr/select?q=aff%3A%28university+AND+univ%29&xid=jmeter,28,1,0,0
1374967580930,32,HTTP Request,200,ThreadGroup 1-1,text,true,35971,1,1,http://adsate:9002/solr/select?q=aff%3A%28of+AND+univ%29&xid=jmeter,31,1,0,0
1374967580979,32,HTTP Request,200,ThreadGroup 1-1,text,true,68589,1,1,http://adsate:9002/solr/select?q=aff%3A%28japan+AND+research%29&xid=jmeter,31,1,0,0
1374967581027,44,HTTP Request,200,ThreadGroup 1-1,text,true,179070,1,1,http://adsate:9002/solr/select?q=aff%3A%28center+AND+for%29&xid=jmeter,40,1,0,0
1374967581095,29,HTTP Request,200,ThreadGroup 1-1,text,true,219042,1,1,http://adsate:9002/solr/select?q=aff%3A%28california+AND+sciences%29&xid=jmeter,24,1,0,0
1374967581148,31,HTTP Request,200,ThreadGroup 1-1,text,true,219042,1,1,http://adsate:9002/solr/select?q=aff%3A%28california+AND+sciences%29&xid=jmeter,26,1,0,0
1374967581196,27,HTTP Request,200,ThreadGroup 1-1,text,true,36647,1,1,http://adsate:9002/solr/select?q=aff%3A%28center+AND+japan%29&xid=jmeter,26,1,0,0
1374967581238,31,HTTP Request,200,ThreadGroup 1-1,text,true,35722,1,1,http://adsate:9002/solr/select?q=aff%3A%28japan+AND+science%29&xid=jmeter,30,1,0,0
1374967581286,38,HTTP Request,200,ThreadGroup 1-1,text,true,119108,1,1,http://adsate:9002/solr/select?q=aff%3A%28de+AND+for%29&xid=jmeter,36,1,0,0
1374967581348,13,HTTP Request,200,ThreadGroup 1-1,text,true,398116,1,1,http://adsate:9002/solr/select?q=reader%3A%28X3b04b4a94+AND+Xb38b3adbc%29&xid=jmeter,5,1,0,0
1374967581398,36,HTTP Request,200,ThreadGroup 1-1,text,true,1127050,1,1,http://adsate:9002/solr/select?q=reader%3A%28Xe8eae89fd+AND+X09fb1a6a9%29&xid=jmeter,6,1,0,0
1374967581565,6,HTTP Request,200,ThreadGroup 1-1,text,true,63342,1,1,http://adsate:9002/solr/select?q=reader%3A%28X33b750763+AND+X15e83fb64%29&xid=jmeter,4,1,0,0
1374967581582,6,HTTP Request,200,ThreadGroup 1-1,text,true,48982,1,1,http://adsate:9002/solr/select?q=reader%3A%28X29a2242d4+AND+X8c46ffcb9%29&xid=jmeter,5,1,0,0
1374967581591,9,HTTP Request,200,ThreadGroup 1-2,text,true,252539,2,2,http://adsate:9002/solr/select?q=reader%3A%28X090952d9d+AND+X126c4f1eb%29&xid=jmeter,4,1,0,0
1374967581618,3,HTTP Request,200,ThreadGroup 1-2,text,true,435,2,2,http://adsate:9002/solr/select?q=reader%3A%28Xe5c96fe67+AND+X397fbef81%29&xid=jmeter,3,1,0,0
1374967581629,9,HTTP Request,200,ThreadGroup 1-2,text,true,225375,2,2,http://adsate:9002/solr/select?q=reader%3A%28Xf6bd1510b+AND+Xe302a8671%29&xid=jmeter,5,1,0,0
1374967581657,6,HTTP Request,200,ThreadGroup 1-2,text,true,435,2,2,http://adsate:9002/solr/select?q=reader%3A%28X6907adb80+AND+X8a0a75d5e%29&xid=jmeter,6,1,0,0
1374967581669,4,HTTP Request,200,ThreadGroup 1-2,text,true,435,2,2,http://adsate:9002/solr/select?q=reader%3A%284b23c3f802+AND+517a863b3f%29&xid=jmeter,4,1,0,0
1374967581680,2,HTTP Request,200,ThreadGroup 1-2,text,true,435,2,2,http://adsate:9002/solr/select?q=reader%3A%28515d4fdd79+AND+4f40bc1705%29&xid=jmeter,2,1,0,0
1374967581598,52,HTTP Request,200,ThreadGroup 1-1,text,true,843919,2,2,http://adsate:9002/solr/select?q=reader%3A%28Xe2b2add7b+AND+Xd46a71cd4%29&xid=jmeter,8,1,0,0
1374967581720,15,HTTP Request,200,ThreadGroup 1-1,text,true,109425,2,2,http://adsate:9002/solr/select?q=reader%3A%28Xf47bbd278+AND+Xbc07949f0%29&xid=jmeter,12,1,0,0
1374967581690,40,HTTP Request,200,ThreadGroup 1-2,text,true,580727,2,2,http://adsate:9002/solr/select?q=reader%3A%28X13c6a9d19+AND+X325e577be%29&xid=jmeter,5,1,0,0
1374967581757,4,HTTP Request,200,ThreadGroup 1-2,text,true,435,2,2,http://adsate:9002/solr/select?q=reader%3A%284a9033262f+AND+X76f6c1b3a%29&xid=jmeter,4,1,0,0
