timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1374967293916,8,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,8,1,0,0
1374967293923,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,443,2,2,7,1,0,0
1374967293930,6,HTTP Request,200,OK,ThreadGroup 1-2,text,true,438,2,2,6,1,0,0
1374967293943,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,439,2,2,4,1,0,0
1374967293953,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,441,2,2,4,1,0,0
1374967293954,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,441,2,2,3,1,0,0
1374967293971,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,442,2,2,2,1,0,0
1374967293968,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,438,2,2,3,1,0,0
1374967293982,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,439,2,2,3,1,0,0
1374967293979,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,435,2,2,4,1,0,0
1374967294000,5,HTTP Request,200,OK,ThreadGroup 1-2,text,true,438,2,2,5,1,0,0
1374967294007,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,437,2,2,3,1,0,0
1374967294023,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,436,2,2,3,1,0,0
1374967294011,12,HTTP Request,200,OK,ThreadGroup 1-2,text,true,438,2,2,12,1,0,0
1374967294040,8,HTTP Request,200,OK,ThreadGroup 1-2,text,true,440,2,2,8,1,0,0
1374967294033,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,437,2,2,3,1,0,0
1374967294061,4,HTTP Request,200,OK,ThreadGroup 1-2,text,true,438,2,2,4,1,0,0
1374967294061,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,438,2,2,4,1,0,0
1374967294073,9,HTTP Request,200,OK,ThreadGroup 1-2,text,true,435,2,2,8,1,0,0
